# DVT Execution Times — Full Integration Test Matrix
# Date: 2026-03-01
# Project: trial_18_all_commands/Coke_DB (merged with trial_17 cloud models)
# Total models: 67 | Seeds: 11 (9 small + 2 large 1M-row benchmark) | Tests: 25 | Snapshots: 1
# Targets: pg_docker, mysql_docker, mssql_docker, oracle_docker, mariadb_docker, pg_dev, dbx_dev, disf_dev
# NOTE: sf_dev is READ ONLY — excluded from writes
# NOTE: transactions_b.csv (1M rows) and transactions_c.csv (1M rows) excluded from adapter seed
#       (adapter inserts row-by-row — would take hours). These are seeded via --spark only on pg_dev.
#
# Format: COMMAND | TARGET | RESULT | TIME
# ================================================================================

# PHASE 1: dvt seed (adapter) --full-refresh — 2026-03-01 23:34:10
dvt snapshot                                       | pg_docker        | PASS=1 WARN=0 ERROR=0 SKIP=0 NO-OP=0 TOTAL=1            |     5s
dvt snapshot                                       | mysql_docker     | PASS=1 WARN=0 ERROR=0 SKIP=0 NO-OP=0 TOTAL=1            |     5s
dvt snapshot                                       | mssql_docker     | PASS=1 WARN=0 ERROR=0 SKIP=0 NO-OP=0 TOTAL=1            |     5s
dvt snapshot                                       | oracle_docker    | PASS=1 WARN=0 ERROR=0 SKIP=0 NO-OP=0 TOTAL=1            |     8s
dvt snapshot                                       | mariadb_docker   | PASS=1 WARN=0 ERROR=0 SKIP=0 NO-OP=0 TOTAL=1            |     6s

# PHASE 11: DDL contract verification — 2026-03-02 01:49:46
PG types verified: text, double precision, integer, boolean, date all preserved

# PHASE 12: Cloud — dbx_dev — 2026-03-02 01:50:12
dvt seed (adapter) --full-refresh                  | dbx_dev          | PASS=5 WARN=0 ERROR=4 SKIP=0 NO-OP=0 TOTAL=9            |    93s
dvt seed --spark                                   | dbx_dev          | PASS=4 WARN=0 ERROR=5 SKIP=0 NO-OP=0 TOTAL=9            |   164s
dvt run (federation_tests)                         | dbx_dev          | PASS=6 WARN=0 ERROR=19 SKIP=0 NO-OP=0 TOTAL=25          |   474s

# ================================================================================
# DATE: 2026-03-02 (continued session)
# ================================================================================

# PHASE 13: Unit tests (pre-commit verification) — 2026-03-02
pytest tests/unit/ -v --tb=long                    | local            | 2324 passed, 3 failed (pre-existing), 8 skipped          |    75s
# Errors logged in: hesham_mind/logs_2026-03-02.txt
